t_ms,rss_mb,stage
11.2,184.271,(other)
65.0,383.664,Register
124.1,389.218,Register
178.0,505.856,Register
230.8,598.721,Register
287.5,579.846,Register
628.6,710.050,Register
697.0,678.937,Register
790.9,624.656,Register
853.6,695.091,Register
916.5,706.298,Register
978.3,687.047,Register
1038.6,759.005,Register
1096.1,681.427,Register
1150.7,700.072,Register
1205.4,806.683,Register
1261.1,716.489,Register
1316.3,840.647,Register
1367.5,879.198,Register
1425.6,865.092,Register
1480.0,804.225,Register
1535.1,804.291,Register
1597.2,805.405,Register
1658.4,812.581,Register
1724.7,813.384,Register
1785.8,817.594,Register
1840.1,831.554,Register
1895.3,832.537,Register
1946.4,835.994,Register
1998.8,854.376,Register
2050.5,861.356,Register
2112.6,861.356,Register
2170.7,860.963,(other)
2221.4,1067.352,Fuse
2272.4,1203.585,Fuse
2327.2,1242.546,Fuse
2379.7,1253.179,Fuse
2451.9,1238.647,Fuse
2507.1,1262.977,Fuse
2561.0,1305.706,Fuse
2616.2,1296.695,Fuse
2671.3,1283.686,Fuse
2724.1,1341.063,Fuse
2774.9,1365.426,Fuse
2827.7,1355.055,Fuse
2880.4,1385.087,Fuse
2935.5,1508.540,Fuse
2989.8,1557.627,Fuse
3047.7,1643.299,Fuse
3105.9,1491.075,Fuse
3159.8,1536.967,Fuse
3214.8,1554.399,Fuse
3269.9,1571.848,Fuse
3323.7,1571.865,Fuse
3378.8,1571.897,Fuse
3430.3,1591.493,Fuse
3485.4,1599.586,Fuse
3540.5,1695.367,Fuse
3595.5,1811.317,Fuse
3650.1,1830.470,Fuse
3705.2,1828.471,Fuse
3757.1,1853.653,Fuse
3808.2,1647.231,Fuse
3863.3,1647.313,Fuse
3926.7,1647.477,Fuse
3981.8,1647.477,Fuse
4036.9,1647.477,Fuse
4091.8,1622.868,Fuse
4146.3,1605.075,Fuse
4202.8,1602.552,Fuse
4257.0,1617.166,Fuse
4312.1,1600.127,Fuse
4363.7,1715.683,Fuse
4417.2,1763.836,Fuse
4478.5,1806.008,Fuse
4528.8,1814.004,Fuse
4582.8,1615.823,Fuse
4637.9,1660.469,Fuse
4691.8,1661.272,Fuse
4747.3,1691.943,Fuse
4802.4,1691.959,Fuse
4856.5,1691.959,Fuse
4908.8,1679.114,Fuse
4963.9,1660.813,Fuse
5019.0,1689.977,Fuse
5076.4,1766.490,Fuse
5131.5,1893.843,Fuse
5185.2,1900.904,Fuse
5236.3,1914.864,Fuse
5291.1,1708.212,Fuse
5350.3,1727.562,Fuse
5405.4,1769.521,Fuse
5457.0,1772.143,Fuse
5512.0,1790.493,Fuse
5567.1,1819.492,Fuse
5633.4,1024.098,Fuse
5688.1,1718.338,Fuse
5742.0,2140.963,Fuse
5793.0,2116.977,Fuse
5847.1,2093.089,Fuse
5902.2,2045.706,Fuse
5957.3,2033.533,Fuse
6008.4,2024.292,Fuse
6059.7,2006.090,Fuse
6113.4,2000.962,Fuse
6168.5,1993.359,Fuse
6223.6,1993.572,Fuse
6278.3,1993.572,Fuse
6334.3,1954.398,Fuse
6384.6,1926.201,Fuse
6438.3,1953.939,Fuse
